2.2974e+05,0
451,0.33333
27,1
1094,1.3333
69,2.3333
2801,3
111,4
58,4.3333
1715,5.3333
118,6.3333
64,7
30,8.3333
20,9
3,9.3333
1,10.333
23,12
70,12.333
2,13
92,16.333
7,17.333
3,19
1,20.333
5,21
67,21.333
3,22.333
2,24.333
11,26.333
87,27
16,28
17,30.333
7,31
9,32.333
148,33.333
19,34.333
2,36.333
13,37
23,37.333
7,39
208,40.333
5,41.333
2,42.333
173,44.333
136,46.333
129,48
64,49
2,50.333
1,52
22,52.333
2,54.333
856,56.333
4,57
3,57.333
10,60.333
16,61
2,63
1,64
70,65.333
84,66.333
8,67
4,69.333
1,70.333
149,72.333
4,73
3,74.333
48,75
2,76.333
119,79
4,80.333
3,81
2,82.333
85,85.333
10,86.333
2,90.333
3,91
6,93
1,94.333
73,96.333
1,97.333
1,100
3,100.33
5,101.33
7,102.33
1,103
3,104.33
12,108
1,109
1,111
1,112.33
1,116.33
46,120.33
3,121.33
2,122.33
2,127
1,129
1,132.33
8,133
58,133.33
1,137.33
2,139
3,140.33
2,142.33
2,144.33
1,145.33
11,147
4,151
1,152.33
12,161.33
1,162.33
1,165.33
1,169
1,169.33
1,170.33
2,172
1,175
7,176.33
1,177.33
1,183
1,189
1,190.33
6,192
1,192.33
1,199
1,201
1,201.33
1,202.33
1,208
4,208.33
5,211
4,217.33
8,225.33
3,226.33
4,230.33
2,234.33
5,240.33
3,241
15,243
1,244
7,244.33
2,250.33
2,252.33
1,254.33
8,261.33
1,264.33
3,273
7,276.33
1,277.33
5,280.33
1,281.33
1,284.33
3,289.33
1,290.33
1,296.33
1,297.33
24,300
1,310.33
1,316.33
86,320.33
2,333
2,340.33
3,341.33
1,342.33
2,344.33
1,351
1,352.33
1,356.33
10,361
1,362.33
5,363
1,364
1,364.33
1,367
1,374.33
2,377.33
1,384.33
3,385.33
4,386.33
2,388
1,394.33
2,399
5,401.33
2,404.33
2,405.33
5,408.33
2,409
1,416.33
1,417.33
1,422.33
3,424.33
12,432
1,433.33
1,436
1,444.33
1,449.33
1,450.33
1,453
10,456.33
1,457
1,457.33
2,460.33
1,468
2,469
1,471
1,472.33
1,475
12,481.33
1,484.33
1,485.33
2,496
19,507
2,511
1,517.33
3,523
1,530.33
3,533.33
1,537.33
2,543
1,545.33
32,550.33
1,558.33
4,560.33
6,569.33
1,574.33
1,580.33
1,582.33
197,588
1,589
2,592
